Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
1723,241,443.3,29.35,25.93,53.67,52.1
1847,8051,747.5,24.99,26.06,42.18,52.92
1848,3518,764.8,22.16,39.48,52.23,64.01
1860,256.1,298.7,14.59,18.39,27.74,41.4
1861,7511,431.6,21.29,266.8,4491,46.86
1880,1.147E+04,2.306E+04,61.63,57.98,68.87,101.3
1913,1.118E+05,1.148E+05,2431,943.8,1874,4231
1938,371,537,45.11,45.48,89.25,69.46
1948,189.8,369.1,32.07,21.9,38.89,39.77
1965,125.8,563.8,30.12,19.63,37,47.75
1983,549.9,563,18.03,18.13,47.67,34.05
2022,190.7,363.5,29.06,20.82,25.8,61.32
2047,317.1,621.9,48.11,31.37,58.13,52.37
2056,262,450.2,31.45,35.33,63.93,72.34
2060,1587,1736,71.51,128.5,238,218.9
2066,487.6,639.1,33.35,30.08,64.88,109.4
2069,1.52E+04,1.16E+04,52.15,76.37,120.6,128.9
2079,4634,890.6,32.9,28.98,57.17,98.3
2082,349.5,553.2,31.09,46.66,100.7,65.13
2087,7727,2259,59.95,54.3,86.24,127
2119,4196,3019,33.41,43.81,76.21,109.1
2143,8.092E+04,8.382E+04,215.1,260.8,516.4,310.3
2147,9778,4326,305.7,748.8,1618,766.8
2170,1.182E+04,4338,122.9,261.4,541.1,373.9
2175,8.182E+04,2.355E+04,119.8,62.91,97.17,213.1
2179,67.85,1132,26.99,21.69,44.11,33.03
2182,1927,817.8,62.49,44.25,63.16,82.13
2209,4780,1.94E+04,101.1,66.52,90.03,220.2
2210,5.129E+04,5.052E+04,169.2,163.5,300.9,141.1
2264,5.401E+04,5.979E+04,199.3,202.4,512,291
2341,1970,358.9,123.2,58.3,109.5,41.59
2382,4.101E+04,6.984E+04,173.2,112.9,161.5,234.9
2414,1.014E+05,9.481E+04,287.1,290.9,495.4,334.1
2503,1.583E+04,1.407E+04,117.3,88.35,111.7,157
2567,861,547.3,26.41,19.65,35.91,26.09
2845,771.4,1464,65.75,41.32,61.49,66.99
2868,7.051E+04,7.751E+04,214.2,181.7,592.4,290.9
2871,2274,989.9,29.15,32.18,37.33,48.09
2921,2380,814.9,21.52,19.67,46.63,60.18
2959,1276,801.8,39.46,21.1,38.23,105.8
2964,4660,330.9,14.84,70.39,1278,22.48
2965,6555,746.4,22.17,111.9,2004,33.19
2969,1.286E+04,8381,143.5,44.51,71.15,193.2
3110,1205,487.6,22.14,17.6,44.64,53.54
3126,1.48E+04,4901,1236,5973,1.061E+04,1117
3142,3872,1734,37.49,28.99,36.38,82.58
3192,9353,1126,27.6,190.2,3519,59.59
3210,7976,832.2,20.45,112.3,1912,59.6
3268,7385,938.4,25.64,132.5,3139,65.82
3269,5.127E+04,4.44E+04,139.6,134.4,149.9,138
3276,1.244E+04,2557,92.6,95.37,181.7,110.1
3311,270.7,1121,25.57,29.57,48.64,73.24
3337,2900,310.5,13.79,41.9,719.7,29.63
3369,1.204E+04,3582,29.45,208.2,5058,46.28
3372,2.2E+04,6673,1730,884,1.282E+04,431.4
3374,8217,1226,36.27,262.3,4421,58.51
3375,1288,1291,62.54,55.04,78.26,89.67
3398,1.104E+04,1204,24.33,137.4,2294,67.84
3404,3.656E+04,5766,1558,774.9,1.063E+04,462.6
3407,4866,449,17.93,14.33,42.17,18.16
3408,1183,694.4,7459,1211,4667,2262
3448,2.35E+04,6725,64.88,42.26,82.34,76.48
3454,7706,5498,41.65,40.41,55.09,123
3456,1.958E+04,3429,993.6,562.6,8312,293.4
3457,234.8,392.9,17.27,17.47,29.2,24.41
3461,1629,1170,26.21,25.06,51.96,37.05
3483,1723,597.4,34.95,28.42,61.89,65.7
3497,1.246E+04,5268,9433,1762,1.383E+04,2091
3532,1.245E+04,6423,81.75,44.65,100.5,161.8
3569,7287,448.2,22.1,105.8,1850,20.84
3611,5863,1117,27.85,91.26,1928,80.51
3613,2558,469.7,18.36,48.83,356.2,36.42
3644,2461,886.2,23.23,361.5,4128,50.93
3646,1.3E+04,1185,35.06,37.63,50.3,41.87
3656,2804,530.2,32.59,23.12,45.68,23.28
3658,1769,271,11.98,40.91,498.3,18.98
3669,1.778E+04,9832,55.37,345.2,4336,106.3
3676,5283,519.2,17.33,224.2,3159,50.59
3679,839.2,369.5,157.2,215.7,452.5,99.07
3680,50.28,685,22.91,20.77,31.4,46.72
3685,1.65E+04,1777,54.61,940.6,1.935E+04,59.81
3711,1389,879.5,27.11,26.3,41.89,90.19
3712,1513,235.6,12.77,40.58,680.2,19.32
3714,1074,1606,48.28,42.7,55.34,57.99
3724,3329,3255,47.63,38.33,68.83,64.54
3731,9317,870,481,112.9,788.3,159.7
3770,40.14,329,14.88,14.6,35.2,32.48
3776,4645,611.7,18.64,142.6,2020,24.5
3783,821.5,921.6,35.91,28.22,49.17,37.28
